               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.072721,             0.34529,                   0,              0.9088,             0.82465,             0.89534,             0.51486,            0.061112,              0.3125,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.073663,             0.34781,                   0,             0.90913,             0.81573,             0.88987,             0.50003,            0.062064,             0.31885,                   0,            0.006139,            0.006139,            0.006139
                  41,              0.0732,             0.34843,                   0,             0.92015,              0.8171,             0.89114,                0.51,            0.061316,             0.31647,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.072725,             0.34591,                   0,             0.90602,             0.80557,              0.8861,             0.50864,            0.061369,             0.31802,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.072626,             0.33903,                   0,             0.89014,             0.80505,             0.87739,             0.49469,            0.062158,             0.31589,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.073052,              0.3446,                   0,             0.90911,             0.82909,             0.89575,             0.52675,            0.060228,             0.31259,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.071564,              0.3423,                   0,             0.91222,             0.82526,             0.89401,             0.54271,            0.059553,             0.31189,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.072262,              0.3329,                   0,              0.9007,             0.82325,             0.89215,             0.52799,            0.060079,              0.3114,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.072238,             0.33852,                   0,             0.91622,             0.82578,             0.89466,              0.5352,            0.059835,             0.31299,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.071367,             0.33728,                   0,             0.91464,             0.83014,             0.89865,             0.53567,            0.060328,             0.31366,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.071185,              0.3373,                   0,             0.91629,             0.82001,             0.89439,             0.53185,             0.05947,             0.31207,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.07202,             0.34109,                   0,             0.91165,             0.82125,             0.89281,             0.49157,            0.061446,             0.31329,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.07198,             0.34048,                   0,              0.9146,             0.83398,             0.89638,              0.5245,            0.059827,             0.31247,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.070815,             0.32427,                   0,             0.91915,             0.83183,             0.90028,             0.54203,            0.059431,             0.30753,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.070358,             0.32612,                   0,             0.92023,             0.83432,             0.90264,             0.54265,            0.058762,             0.30341,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.070964,             0.34184,                   0,             0.92371,             0.83345,             0.90375,             0.55625,            0.058233,             0.30472,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.07049,             0.32883,                   0,             0.91709,             0.81289,             0.89081,              0.5294,            0.059556,             0.31277,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.070241,             0.32258,                   0,             0.91141,             0.82809,             0.89871,             0.53987,            0.059091,                0.31,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.069797,             0.33282,                   0,             0.91525,             0.82857,             0.89459,             0.52756,            0.059645,             0.31171,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.07009,              0.3317,                   0,             0.92755,             0.83066,             0.90378,             0.54899,            0.058388,             0.30551,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.070406,             0.33017,                   0,             0.92168,             0.84146,             0.90775,             0.56412,            0.057793,             0.30252,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.069654,              0.3187,                   0,             0.92474,             0.83053,             0.90361,              0.5592,            0.058203,              0.3035,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.070682,             0.33482,                   0,              0.9257,             0.83728,              0.9084,             0.56007,            0.057928,             0.30283,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.070273,             0.32314,                   0,             0.91872,             0.83891,             0.90911,             0.55881,            0.057995,             0.30643,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.06871,             0.32631,                   0,             0.92263,             0.84142,             0.90869,             0.55709,            0.058054,             0.30231,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.06904,             0.32329,                   0,             0.92611,             0.84501,             0.90932,             0.56061,            0.057475,             0.30127,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.068275,              0.3116,                   0,             0.92598,             0.84303,             0.90961,             0.53451,             0.05883,              0.3028,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.068583,             0.31651,                   0,             0.92764,             0.83746,             0.90879,             0.55594,             0.05765,             0.30081,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.067664,              0.3117,                   0,             0.91745,             0.81131,             0.88863,             0.52523,            0.060705,             0.35431,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.069267,             0.32666,                   0,             0.92173,             0.84251,             0.91097,             0.56544,            0.057071,             0.29761,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.069289,              0.3218,                   0,             0.92708,             0.84613,             0.90964,             0.56653,            0.057241,             0.30051,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.068077,             0.32161,                   0,             0.93325,             0.84527,             0.91195,             0.55914,            0.057424,             0.29611,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.06853,              0.3227,                   0,             0.93033,             0.84916,             0.91575,             0.57699,            0.056645,             0.29654,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.067751,             0.31235,                   0,             0.92655,             0.85157,             0.91618,             0.57191,            0.056664,             0.29517,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.068273,             0.32638,                   0,             0.93257,             0.84091,             0.91107,              0.5754,            0.056858,             0.29834,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.068887,             0.31634,                   0,             0.92378,             0.85299,             0.91635,             0.57148,            0.056772,             0.29642,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.068373,             0.31587,                   0,             0.92862,             0.84965,             0.91518,             0.57672,            0.056561,             0.29593,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.067728,              0.3134,                   0,             0.93934,             0.84547,             0.91688,              0.5736,              0.0567,              0.2991,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.067016,             0.31353,                   0,             0.93223,             0.84808,             0.91625,             0.57963,            0.056443,             0.29736,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.068525,             0.31881,                   0,             0.92953,             0.85249,             0.91847,             0.58072,             0.05648,             0.29596,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.068068,             0.31816,                   0,             0.93199,             0.84515,             0.91374,             0.55701,             0.05731,             0.30005,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.068186,              0.3168,                   0,             0.93507,             0.84686,             0.91816,             0.58027,            0.056482,             0.29602,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.067382,             0.31028,                   0,             0.93621,                0.85,             0.91791,             0.57788,            0.056358,             0.29492,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.067437,             0.31161,                   0,             0.93008,             0.84948,             0.91734,             0.57943,            0.056381,             0.29453,                   0,            0.001981,            0.001981,            0.001981
